Date,Adj Close,Close,High,Low,Open,Volume
,GMAB.CO,GMAB.CO,GMAB.CO,GMAB.CO,GMAB.CO,GMAB.CO
2024-08-28,1867.0,1867.0,1881.5,1857.5,1869.5,67803
2024-08-29,1877.5,1877.5,1880.0,1867.0,1867.0,67623
2024-08-30,1873.5,1873.5,1881.0,1860.0,1880.0,310316
2024-09-02,1869.5,1869.5,1876.0,1865.5,1875.0,39708
2024-09-03,1870.0,1870.0,1876.0,1866.0,1868.0,56076
2024-09-04,1866.5,1866.5,1866.5,1823.5,1830.0,80231
2024-09-05,1865.0,1865.0,1871.0,1854.0,1861.5,50531
2024-09-06,1860.0,1860.0,1880.0,1855.0,1860.0,55480
2024-09-09,1854.5,1854.5,1862.0,1842.5,1857.0,49823
2024-09-10,1853.0,1853.0,1893.0,1849.5,1854.5,64850
2024-09-11,1809.0,1809.0,1865.0,1808.5,1855.5,90400
2024-09-12,1779.0,1779.0,1821.0,1779.0,1818.5,93996
2024-09-13,1800.0,1800.0,1805.5,1777.5,1786.0,95056
2024-09-16,1776.5,1776.5,1820.0,1773.5,1820.0,99996
2024-09-17,1775.0,1775.0,1786.0,1770.5,1785.0,91018
2024-09-18,1759.5,1759.5,1775.5,1734.5,1775.0,120304
2024-09-19,1765.0,1765.0,1774.5,1753.5,1769.0,72573
2024-09-20,1715.0,1715.0,1768.0,1715.0,1764.0,207617
2024-09-23,1620.5,1620.5,1698.5,1608.5,1698.5,257469
2024-09-24,1607.5,1607.5,1633.0,1593.0,1629.5,157538
2024-09-25,1605.0,1605.0,1623.5,1589.0,1602.5,110275
2024-09-26,1597.5,1597.5,1625.5,1597.0,1605.0,113049
2024-09-27,1622.0,1622.0,1626.0,1600.0,1604.5,153792
2024-09-30,1620.0,1620.0,1638.0,1605.0,1622.0,83945
2024-10-01,1615.0,1615.0,1640.0,1615.0,1640.0,79433
2024-10-02,1593.5,1593.5,1621.0,1565.5,1617.5,116686
2024-10-03,1586.5,1586.5,1598.5,1574.5,1594.5,72095
2024-10-04,1587.5,1587.5,1588.0,1562.0,1584.0,82184
2024-10-07,1599.0,1599.0,1599.0,1578.5,1590.5,92329
2024-10-08,1598.0,1598.0,1632.0,1593.5,1600.5,117076
2024-10-09,1604.0,1604.0,1612.5,1592.5,1598.0,108079
2024-10-10,1605.0,1605.0,1621.5,1599.5,1602.0,87783
2024-10-11,1604.0,1604.0,1616.0,1596.5,1609.5,106435
2024-10-14,1605.0,1605.0,1612.0,1595.5,1600.0,105971
2024-10-15,1600.5,1600.5,1618.5,1597.0,1618.5,135104
2024-10-16,1553.5,1553.5,1579.5,1530.0,1573.0,177912
2024-10-17,1575.0,1575.0,1590.5,1548.0,1552.5,99886
2024-10-18,1563.5,1563.5,1581.0,1557.5,1575.0,91723
2024-10-21,1549.5,1549.5,1581.5,1549.5,1570.0,72311
2024-10-22,1553.5,1553.5,1567.0,1538.5,1554.5,74695
2024-10-23,1572.5,1572.5,1587.5,1546.0,1553.5,93139
2024-10-24,1578.5,1578.5,1585.0,1564.5,1567.5,66725
2024-10-25,1593.5,1593.5,1593.5,1541.0,1571.0,129707
2024-10-28,1582.0,1582.0,1608.5,1579.0,1598.5,68546
2024-10-29,1578.5,1578.5,1601.0,1578.5,1591.0,69499
2024-10-30,1555.5,1555.5,1582.5,1550.5,1582.0,100337
2024-10-31,1534.5,1534.5,1551.5,1518.0,1548.0,107837
2024-11-01,1548.5,1548.5,1552.0,1516.5,1521.5,71316
2024-11-04,1552.5,1552.5,1564.5,1546.5,1551.0,70837
2024-11-05,1518.0,1518.0,1565.5,1515.5,1554.0,88554
2024-11-06,1523.5,1523.5,1569.5,1519.0,1547.0,93685
2024-11-07,1589.5,1589.5,1589.5,1529.0,1534.0,134849
2024-11-08,1592.0,1592.0,1613.5,1576.5,1590.5,107671
2024-11-11,1609.0,1609.0,1652.0,1604.0,1604.0,125125
2024-11-12,1578.0,1578.0,1610.5,1578.0,1609.0,96542
2024-11-13,1551.5,1551.5,1571.0,1537.5,1567.5,112046
2024-11-14,1518.0,1518.0,1539.5,1491.5,1538.0,139911
2024-11-15,1450.0,1450.0,1494.0,1450.0,1491.0,128121
2024-11-18,1463.5,1463.5,1477.0,1450.5,1452.0,97906
2024-11-19,1446.0,1446.0,1464.0,1431.0,1456.0,89611
2024-11-20,1445.0,1445.0,1461.5,1439.0,1450.0,66652
2024-11-21,1447.5,1447.5,1458.0,1436.0,1441.5,88681
2024-11-22,1483.5,1483.5,1483.5,1449.5,1449.5,104740
2024-11-25,1479.0,1479.0,1498.0,1474.5,1483.0,234734
2024-11-26,1457.5,1457.5,1479.0,1455.0,1477.0,71698
2024-11-27,1488.0,1488.0,1494.0,1467.5,1467.5,69953
2024-11-28,1511.0,1511.0,1515.0,1491.0,1495.0,50313
2024-11-29,1526.0,1526.0,1531.5,1504.5,1509.0,128094
2024-12-02,1551.5,1551.5,1559.0,1523.5,1526.5,107473
2024-12-03,1531.5,1531.5,1567.0,1531.5,1560.0,82092
2024-12-04,1528.5,1528.5,1555.5,1528.5,1545.0,98222
2024-12-05,1551.5,1551.5,1551.5,1529.0,1529.0,77833
2024-12-06,1549.0,1549.0,1554.5,1530.5,1548.5,56070
2024-12-09,1561.5,1561.5,1565.5,1536.5,1544.5,85105
2024-12-10,1556.5,1556.5,1574.0,1556.5,1563.0,76138
2024-12-11,1536.0,1536.0,1547.5,1530.0,1540.0,68926
2024-12-12,1488.0,1488.0,1530.0,1473.0,1530.0,128585
